onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	67.0	74.0
3.7002	0.0002	Stimulus/S128	2	18501	67.0	74.0
9.5402	0.0002	Stimulus/S128	2	47701	67.0	74.0
17.3814	0.0002	Stimulus/S128	2	86907	67.0	74.0
23.2226	0.0002	Stimulus/S128	2	116113	67.0	74.0
30.0636	0.0002	Stimulus/S128	2	150318	67.0	74.0
36.9048	0.0002	Stimulus/S128	2	184524	67.0	74.0
43.746	0.0002	Stimulus/S128	2	218730	67.0	74.0
49.587	0.0002	Stimulus/S128	2	247935	67.0	74.0
56.4282	0.0002	Stimulus/S128	2	282141	67.0	74.0
63.2694	0.0002	Stimulus/S128	2	316347	67.0	74.0
70.1106	0.0002	Stimulus/S128	2	350553	67.0	74.0
76.9518	0.0002	Stimulus/S128	2	384759	67.0	74.0
82.7928	0.0002	Stimulus/S128	2	413964	67.0	74.0
88.6462	0.0002	Stimulus/S128	2	443231	67.0	74.0
95.4888	0.0002	Stimulus/S128	2	477444	67.0	74.0
102.3302	0.0002	Stimulus/S128	2	511651	67.0	74.0
109.1712	0.0002	Stimulus/S128	2	545856	67.0	74.0
116.0122	0.0002	Stimulus/S128	2	580061	67.0	74.0
122.8534	0.0002	Stimulus/S128	2	614267	67.0	74.0
130.6948	0.0002	Stimulus/S128	2	653474	67.0	74.0
137.5358	0.0002	Stimulus/S128	2	687679	67.0	74.0
145.3772	0.0002	Stimulus/S128	2	726886	67.0	74.0
151.2184	0.0002	Stimulus/S128	2	756092	67.0	74.0
158.0592	0.0002	Stimulus/S128	2	790296	67.0	74.0
165.9006	0.0002	Stimulus/S128	2	829503	67.0	74.0
173.7418	0.0002	Stimulus/S128	2	868709	67.0	74.0
179.583	0.0002	Stimulus/S128	2	897915	67.0	74.0
187.4242	0.0002	Stimulus/S128	2	937121	67.0	74.0
193.2652	0.0002	Stimulus/S128	2	966326	67.0	74.0
199.1064	0.0002	Stimulus/S128	2	995532	67.0	74.0
206.9476	0.0002	Stimulus/S128	2	1034738	67.0	74.0
214.7888	0.0002	Stimulus/S128	2	1073944	67.0	74.0
221.63	0.0002	Stimulus/S128	2	1108150	67.0	74.0
228.4712	0.0002	Stimulus/S128	2	1142356	67.0	74.0
236.3124	0.0002	Stimulus/S128	2	1181562	67.0	74.0
243.1538	0.0002	Stimulus/S128	2	1215769	67.0	74.0
250.995	0.0002	Stimulus/S128	2	1254975	67.0	74.0
256.836	0.0002	Stimulus/S128	2	1284180	67.0	74.0
263.6772	0.0002	Stimulus/S128	2	1318386	67.0	74.0
269.5182	0.0002	Stimulus/S128	2	1347591	67.0	74.0
275.3594	0.0002	Stimulus/S128	2	1376797	67.0	74.0
281.2002	0.0002	Stimulus/S128	2	1406001	67.0	74.0
289.0416	0.0002	Stimulus/S128	2	1445208	67.0	74.0
294.8826	0.0002	Stimulus/S128	2	1474413	67.0	74.0
302.7238	0.0002	Stimulus/S128	2	1513619	67.0	74.0
308.5648	0.0002	Stimulus/S128	2	1542824	67.0	74.0
316.4062	0.0002	Stimulus/S128	2	1582031	67.0	74.0
324.2474	0.0002	Stimulus/S128	2	1621237	67.0	74.0
330.0886	0.0002	Stimulus/S128	2	1650443	67.0	74.0
337.9298	0.0002	Stimulus/S128	2	1689649	67.0	74.0
345.771	0.0002	Stimulus/S128	2	1728855	67.0	74.0
353.6124	0.0002	Stimulus/S128	2	1768062	67.0	74.0
361.4536	0.0002	Stimulus/S128	2	1807268	67.0	74.0
367.2946	0.0002	Stimulus/S128	2	1836473	67.0	74.0
