onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	60.0	72.0
13.5168	0.0002	Stimulus/S128	2	67584	60.0	72.0
20.3576	0.0002	Stimulus/S128	2	101788	60.0	72.0
27.199	0.0002	Stimulus/S128	2	135995	60.0	72.0
34.04	0.0002	Stimulus/S128	2	170200	60.0	72.0
39.881	0.0002	Stimulus/S128	2	199405	60.0	72.0
47.7152	0.0002	Stimulus/S128	2	238576	60.0	72.0
54.5496	0.0002	Stimulus/S128	2	272748	60.0	72.0
60.3906	0.0002	Stimulus/S128	2	301953	60.0	72.0
67.2318	0.0002	Stimulus/S128	2	336159	60.0	72.0
73.0726	0.0002	Stimulus/S128	2	365363	60.0	72.0
78.9138	0.0002	Stimulus/S128	2	394569	60.0	72.0
85.7484	0.0002	Stimulus/S128	2	428742	60.0	72.0
93.5824	0.0002	Stimulus/S128	2	467912	60.0	72.0
101.4168	0.0002	Stimulus/S128	2	507084	60.0	72.0
109.251	0.0002	Stimulus/S128	2	546255	60.0	72.0
117.0852	0.0002	Stimulus/S128	2	585426	60.0	72.0
122.9262	0.0002	Stimulus/S128	2	614631	60.0	72.0
128.7672	0.0002	Stimulus/S128	2	643836	60.0	72.0
136.6018	0.0002	Stimulus/S128	2	683009	60.0	72.0
142.4428	0.0002	Stimulus/S128	2	712214	60.0	72.0
150.277	0.0002	Stimulus/S128	2	751385	60.0	72.0
157.1182	0.0002	Stimulus/S128	2	785591	60.0	72.0
164.9526	0.0002	Stimulus/S128	2	824763	60.0	72.0
170.7936	0.0002	Stimulus/S128	2	853968	60.0	72.0
177.6348	0.0002	Stimulus/S128	2	888174	60.0	72.0
183.4756	0.0002	Stimulus/S128	2	917378	60.0	72.0
190.3168	0.0002	Stimulus/S128	2	951584	60.0	72.0
198.1514	0.0002	Stimulus/S128	2	990757	60.0	72.0
205.9856	0.0002	Stimulus/S128	2	1029928	60.0	72.0
212.8266	0.0002	Stimulus/S128	2	1064133	60.0	72.0
220.661	0.0002	Stimulus/S128	2	1103305	60.0	72.0
228.4954	0.0002	Stimulus/S128	2	1142477	60.0	72.0
234.3364	0.0002	Stimulus/S128	2	1171682	60.0	72.0
242.1708	0.0002	Stimulus/S128	2	1210854	60.0	72.0
249.0118	0.0002	Stimulus/S128	2	1245059	60.0	72.0
255.853	0.0002	Stimulus/S128	2	1279265	60.0	72.0
263.6874	0.0002	Stimulus/S128	2	1318437	60.0	72.0
270.5286	0.0002	Stimulus/S128	2	1352643	60.0	72.0
276.3696	0.0002	Stimulus/S128	2	1381848	60.0	72.0
282.2106	0.0002	Stimulus/S128	2	1411053	60.0	72.0
288.0516	0.0002	Stimulus/S128	2	1440258	60.0	72.0
294.8928	0.0002	Stimulus/S128	2	1474464	60.0	72.0
301.734	0.0002	Stimulus/S128	2	1508670	60.0	72.0
307.575	0.0002	Stimulus/S128	2	1537875	60.0	72.0
314.416	0.0002	Stimulus/S128	2	1572080	60.0	72.0
322.2506	0.0002	Stimulus/S128	2	1611253	60.0	72.0
329.0916	0.0002	Stimulus/S128	2	1645458	60.0	72.0
334.9326	0.0002	Stimulus/S128	2	1674663	60.0	72.0
340.7736	0.0002	Stimulus/S128	2	1703868	60.0	72.0
347.6148	0.0002	Stimulus/S128	2	1738074	60.0	72.0
353.4558	0.0002	Stimulus/S128	2	1767279	60.0	72.0
361.2902	0.0002	Stimulus/S128	2	1806451	60.0	72.0
369.1246	0.0002	Stimulus/S128	2	1845623	60.0	72.0
374.9654	0.0002	Stimulus/S128	2	1874827	60.0	72.0
