onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	67.0	74.0
6.1852	0.0002	Stimulus/S128	2	30926	67.0	74.0
13.2624	0.0002	Stimulus/S128	2	66312	67.0	74.0
19.3396	0.0002	Stimulus/S128	2	96698	67.0	74.0
25.4028	0.0002	Stimulus/S128	2	127014	67.0	74.0
33.4664	0.0002	Stimulus/S128	2	167332	67.0	74.0
39.5436	0.0002	Stimulus/S128	2	197718	67.0	74.0
45.6208	0.0002	Stimulus/S128	2	228104	67.0	74.0
53.6842	0.0002	Stimulus/S128	2	268421	67.0	74.0
60.8032	0.0002	Stimulus/S128	2	304016	67.0	74.0
67.8806	0.0002	Stimulus/S128	2	339403	67.0	74.0
74.944	0.0002	Stimulus/S128	2	374720	67.0	74.0
81.0072	0.0002	Stimulus/S128	2	405036	67.0	74.0
87.0776	0.0002	Stimulus/S128	2	435388	67.0	74.0
93.1616	0.0002	Stimulus/S128	2	465808	67.0	74.0
99.2248	0.0002	Stimulus/S128	2	496124	67.0	74.0
106.3022	0.0002	Stimulus/S128	2	531511	67.0	74.0
114.3658	0.0002	Stimulus/S128	2	571829	67.0	74.0
121.436	0.0002	Stimulus/S128	2	607180	67.0	74.0
128.5412	0.0002	Stimulus/S128	2	642706	67.0	74.0
136.6116	0.0002	Stimulus/S128	2	683058	67.0	74.0
143.696	0.0002	Stimulus/S128	2	718480	67.0	74.0
150.7662	0.0002	Stimulus/S128	2	753831	67.0	74.0
157.8296	0.0002	Stimulus/S128	2	789148	67.0	74.0
163.893	0.0002	Stimulus/S128	2	819465	67.0	74.0
169.9564	0.0002	Stimulus/S128	2	849782	67.0	74.0
178.0268	0.0002	Stimulus/S128	2	890134	67.0	74.0
184.097	0.0002	Stimulus/S128	2	920485	67.0	74.0
192.1882	0.0002	Stimulus/S128	2	960941	67.0	74.0
200.2588	0.0002	Stimulus/S128	2	1001294	67.0	74.0
208.3224	0.0002	Stimulus/S128	2	1041612	67.0	74.0
215.3858	0.0002	Stimulus/S128	2	1076929	67.0	74.0
223.4494	0.0002	Stimulus/S128	2	1117247	67.0	74.0
229.5126	0.0002	Stimulus/S128	2	1147563	67.0	74.0
235.5758	0.0002	Stimulus/S128	2	1177879	67.0	74.0
243.6394	0.0002	Stimulus/S128	2	1218197	67.0	74.0
249.7028	0.0002	Stimulus/S128	2	1248514	67.0	74.0
257.8342	0.0002	Stimulus/S128	2	1289171	67.0	74.0
263.913	0.0002	Stimulus/S128	2	1319565	67.0	74.0
270.9832	0.0002	Stimulus/S128	2	1354916	67.0	74.0
279.0538	0.0002	Stimulus/S128	2	1395269	67.0	74.0
285.1308	0.0002	Stimulus/S128	2	1425654	67.0	74.0
292.222	0.0002	Stimulus/S128	2	1461110	67.0	74.0
299.2994	0.0002	Stimulus/S128	2	1496497	67.0	74.0
306.3836	0.0002	Stimulus/S128	2	1531918	67.0	74.0
313.4472	0.0002	Stimulus/S128	2	1567236	67.0	74.0
321.516	0.0002	Stimulus/S128	2	1607580	67.0	74.0
328.5878	0.0002	Stimulus/S128	2	1642939	67.0	74.0
336.6654	0.0002	Stimulus/S128	2	1683327	67.0	74.0
342.7286	0.0002	Stimulus/S128	2	1713643	67.0	74.0
350.799	0.0002	Stimulus/S128	2	1753995	67.0	74.0
358.8834	0.0002	Stimulus/S128	2	1794417	67.0	74.0
366.961	0.0002	Stimulus/S128	2	1834805	67.0	74.0
373.0312	0.0002	Stimulus/S128	2	1865156	67.0	74.0
381.1016	0.0002	Stimulus/S128	2	1905508	67.0	74.0
