onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	67.0	74.0
3.3042	0.0002	Stimulus/S128	2	16521	67.0	74.0
10.3884	0.0002	Stimulus/S128	2	51942	67.0	74.0
17.452	0.0002	Stimulus/S128	2	87260	67.0	74.0
23.536	0.0002	Stimulus/S128	2	117680	67.0	74.0
30.6064	0.0002	Stimulus/S128	2	153032	67.0	74.0
38.6768	0.0002	Stimulus/S128	2	193384	67.0	74.0
44.74	0.0002	Stimulus/S128	2	223700	67.0	74.0
50.8034	0.0002	Stimulus/S128	2	254017	67.0	74.0
56.9084	0.0002	Stimulus/S128	2	284542	67.0	74.0
63.9856	0.0002	Stimulus/S128	2	319928	67.0	74.0
71.0562	0.0002	Stimulus/S128	2	355281	67.0	74.0
77.1402	0.0002	Stimulus/S128	2	385701	67.0	74.0
85.2176	0.0002	Stimulus/S128	2	426088	67.0	74.0
93.288	0.0002	Stimulus/S128	2	466440	67.0	74.0
100.3654	0.0002	Stimulus/S128	2	501827	67.0	74.0
106.4496	0.0002	Stimulus/S128	2	532248	67.0	74.0
114.527	0.0002	Stimulus/S128	2	572635	67.0	74.0
120.5902	0.0002	Stimulus/S128	2	602951	67.0	74.0
126.6604	0.0002	Stimulus/S128	2	633302	67.0	74.0
132.7306	0.0002	Stimulus/S128	2	663653	67.0	74.0
138.8148	0.0002	Stimulus/S128	2	694074	67.0	74.0
146.8852	0.0002	Stimulus/S128	2	734426	67.0	74.0
153.9556	0.0002	Stimulus/S128	2	769778	67.0	74.0
162.019	0.0002	Stimulus/S128	2	810095	67.0	74.0
169.0964	0.0002	Stimulus/S128	2	845482	67.0	74.0
177.16	0.0002	Stimulus/S128	2	885800	67.0	74.0
183.2302	0.0002	Stimulus/S128	2	916151	67.0	74.0
191.3146	0.0002	Stimulus/S128	2	956573	67.0	74.0
197.3848	0.0002	Stimulus/S128	2	986924	67.0	74.0
203.469	0.0002	Stimulus/S128	2	1017345	67.0	74.0
210.5324	0.0002	Stimulus/S128	2	1052662	67.0	74.0
217.5958	0.0002	Stimulus/S128	2	1087979	67.0	74.0
223.659	0.0002	Stimulus/S128	2	1118295	67.0	74.0
231.7226	0.0002	Stimulus/S128	2	1158613	67.0	74.0
238.7998	0.0002	Stimulus/S128	2	1193999	67.0	74.0
246.8702	0.0002	Stimulus/S128	2	1234351	67.0	74.0
254.9756	0.0002	Stimulus/S128	2	1274878	67.0	74.0
261.0458	0.0002	Stimulus/S128	2	1305229	67.0	74.0
269.1094	0.0002	Stimulus/S128	2	1345547	67.0	74.0
276.1726	0.0002	Stimulus/S128	2	1380863	67.0	74.0
282.243	0.0002	Stimulus/S128	2	1411215	67.0	74.0
290.3064	0.0002	Stimulus/S128	2	1451532	67.0	74.0
296.3702	0.0002	Stimulus/S128	2	1481851	67.0	74.0
304.4542	0.0002	Stimulus/S128	2	1522271	67.0	74.0
312.5316	0.0002	Stimulus/S128	2	1562658	67.0	74.0
320.609	0.0002	Stimulus/S128	2	1603045	67.0	74.0
327.6794	0.0002	Stimulus/S128	2	1638397	67.0	74.0
333.7426	0.0002	Stimulus/S128	2	1668713	67.0	74.0
341.8132	0.0002	Stimulus/S128	2	1709066	67.0	74.0
348.8834	0.0002	Stimulus/S128	2	1744417	67.0	74.0
355.9468	0.0002	Stimulus/S128	2	1779734	67.0	74.0
363.0172	0.0002	Stimulus/S128	2	1815086	67.0	74.0
370.1014	0.0002	Stimulus/S128	2	1850507	67.0	74.0
377.1788	0.0002	Stimulus/S128	2	1885894	67.0	74.0
