onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	67.0	74.0
4.2616	0.0002	Stimulus/S128	2	21308	67.0	74.0
10.3316	0.0002	Stimulus/S128	2	51658	67.0	74.0
16.402	0.0002	Stimulus/S128	2	82010	67.0	74.0
24.4654	0.0002	Stimulus/S128	2	122327	67.0	74.0
31.5428	0.0002	Stimulus/S128	2	157714	67.0	74.0
39.6202	0.0002	Stimulus/S128	2	198101	67.0	74.0
47.6978	0.0002	Stimulus/S128	2	238489	67.0	74.0
53.768	0.0002	Stimulus/S128	2	268840	67.0	74.0
59.8366	0.0002	Stimulus/S128	2	299183	67.0	74.0
66.9016	0.0002	Stimulus/S128	2	334508	67.0	74.0
72.9718	0.0002	Stimulus/S128	2	364859	67.0	74.0
79.035	0.0002	Stimulus/S128	2	395175	67.0	74.0
87.0986	0.0002	Stimulus/S128	2	435493	67.0	74.0
93.1758	0.0002	Stimulus/S128	2	465879	67.0	74.0
100.2462	0.0002	Stimulus/S128	2	501231	67.0	74.0
106.3094	0.0002	Stimulus/S128	2	531547	67.0	74.0
112.3728	0.0002	Stimulus/S128	2	561864	67.0	74.0
118.436	0.0002	Stimulus/S128	2	592180	67.0	74.0
124.5132	0.0002	Stimulus/S128	2	622566	67.0	74.0
130.5834	0.0002	Stimulus/S128	2	652917	67.0	74.0
137.6468	0.0002	Stimulus/S128	2	688234	67.0	74.0
145.7242	0.0002	Stimulus/S128	2	728621	67.0	74.0
151.8014	0.0002	Stimulus/S128	2	759007	67.0	74.0
159.865	0.0002	Stimulus/S128	2	799325	67.0	74.0
166.9354	0.0002	Stimulus/S128	2	834677	67.0	74.0
175.0058	0.0002	Stimulus/S128	2	875029	67.0	74.0
182.0762	0.0002	Stimulus/S128	2	910381	67.0	74.0
190.1468	0.0002	Stimulus/S128	2	950734	67.0	74.0
197.2102	0.0002	Stimulus/S128	2	986051	67.0	74.0
205.2736	0.0002	Stimulus/S128	2	1026368	67.0	74.0
212.351	0.0002	Stimulus/S128	2	1061755	67.0	74.0
218.4212	0.0002	Stimulus/S128	2	1092106	67.0	74.0
226.5124	0.0002	Stimulus/S128	2	1132562	67.0	74.0
234.583	0.0002	Stimulus/S128	2	1172915	67.0	74.0
240.674	0.0002	Stimulus/S128	2	1203370	67.0	74.0
247.7444	0.0002	Stimulus/S128	2	1238722	67.0	74.0
254.8078	0.0002	Stimulus/S128	2	1274039	67.0	74.0
262.8712	0.0002	Stimulus/S128	2	1314356	67.0	74.0
269.9346	0.0002	Stimulus/S128	2	1349673	67.0	74.0
277.012	0.0002	Stimulus/S128	2	1385060	67.0	74.0
285.0896	0.0002	Stimulus/S128	2	1425448	67.0	74.0
291.1808	0.0002	Stimulus/S128	2	1455904	67.0	74.0
299.258	0.0002	Stimulus/S128	2	1496290	67.0	74.0
305.3282	0.0002	Stimulus/S128	2	1526641	67.0	74.0
313.3918	0.0002	Stimulus/S128	2	1566959	67.0	74.0
320.455	0.0002	Stimulus/S128	2	1602275	67.0	74.0
327.5464	0.0002	Stimulus/S128	2	1637732	67.0	74.0
334.6236	0.0002	Stimulus/S128	2	1673118	67.0	74.0
341.7078	0.0002	Stimulus/S128	2	1708539	67.0	74.0
348.7852	0.0002	Stimulus/S128	2	1743926	67.0	74.0
356.8696	0.0002	Stimulus/S128	2	1784348	67.0	74.0
364.947	0.0002	Stimulus/S128	2	1824735	67.0	74.0
371.0102	0.0002	Stimulus/S128	2	1855051	67.0	74.0
379.1502	0.0002	Stimulus/S128	2	1895751	67.0	74.0
