onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
11.452	0.0002	Stimulus/S128	2	57260		
19.5462	0.0002	Stimulus/S128	2	97731		
26.6134	0.0002	Stimulus/S128	2	133067		
34.6978	0.0002	Stimulus/S128	2	173489		
41.7752	0.0002	Stimulus/S128	2	208876		
48.8386	0.0002	Stimulus/S128	2	244193		
56.916	0.0002	Stimulus/S128	2	284580		
63.9866	0.0002	Stimulus/S128	2	319933		
71.05	0.0002	Stimulus/S128	2	355250		
77.1202	0.0002	Stimulus/S128	2	385601		
85.2044	0.0002	Stimulus/S128	2	426022		
91.2678	0.0002	Stimulus/S128	2	456339		
99.359	0.0002	Stimulus/S128	2	496795		
105.4294	0.0002	Stimulus/S128	2	527147		
111.4996	0.0002	Stimulus/S128	2	557498		
117.5698	0.0002	Stimulus/S128	2	587849		
125.6334	0.0002	Stimulus/S128	2	628167		
132.7038	0.0002	Stimulus/S128	2	663519		
140.7746	0.0002	Stimulus/S128	2	703873		
146.8724	0.0002	Stimulus/S128	2	734362		
153.941	0.0002	Stimulus/S128	2	769705		
161.006	0.0002	Stimulus/S128	2	805030		
168.0694	0.0002	Stimulus/S128	2	840347		
176.14	0.0002	Stimulus/S128	2	880700		
183.2104	0.0002	Stimulus/S128	2	916052		
190.2808	0.0002	Stimulus/S128	2	951404		
196.3718	0.0002	Stimulus/S128	2	981859		
203.4422	0.0002	Stimulus/S128	2	1017211		
211.5126	0.0002	Stimulus/S128	2	1057563		
219.5762	0.0002	Stimulus/S128	2	1097881		
225.6464	0.0002	Stimulus/S128	2	1128232		
231.7098	0.0002	Stimulus/S128	2	1158549		
237.773	0.0002	Stimulus/S128	2	1188865		
244.8436	0.0002	Stimulus/S128	2	1224218		
252.907	0.0002	Stimulus/S128	2	1264535		
258.9772	0.0002	Stimulus/S128	2	1294886		
265.0406	0.0002	Stimulus/S128	2	1325203		
273.104	0.0002	Stimulus/S128	2	1365520		
281.1814	0.0002	Stimulus/S128	2	1405907		
287.2586	0.0002	Stimulus/S128	2	1436293		
294.3222	0.0002	Stimulus/S128	2	1471611		
301.3858	0.0002	Stimulus/S128	2	1506929		
307.4488	0.0002	Stimulus/S128	2	1537244		
315.5334	0.0002	Stimulus/S128	2	1577667		
322.6036	0.0002	Stimulus/S128	2	1613018		
328.6878	0.0002	Stimulus/S128	2	1643439		
336.7512	0.0002	Stimulus/S128	2	1683756		
344.8218	0.0002	Stimulus/S128	2	1724109		
352.8854	0.0002	Stimulus/S128	2	1764427		
360.956	0.0002	Stimulus/S128	2	1804780		
367.0262	0.0002	Stimulus/S128	2	1835131		
373.0894	0.0002	Stimulus/S128	2	1865447		
380.186	0.0002	Stimulus/S128	2	1900930		
387.258	0.0002	Stimulus/S128	2	1936290		
