onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
7.1768	0.0002	Stimulus/S128	2	35884		
13.014	0.0002	Stimulus/S128	2	65070		
20.8586	0.0002	Stimulus/S128	2	104293		
28.7	0.0002	Stimulus/S128	2	143500		
35.541	0.0002	Stimulus/S128	2	177705		
43.3824	0.0002	Stimulus/S128	2	216912		
49.2234	0.0002	Stimulus/S128	2	246117		
56.0628	0.0002	Stimulus/S128	2	280314		
62.9058	0.0002	Stimulus/S128	2	314529		
70.747	0.0002	Stimulus/S128	2	353735		
77.5812	0.0002	Stimulus/S128	2	387906		
85.4226	0.0002	Stimulus/S128	2	427113		
92.2568	0.0002	Stimulus/S128	2	461284		
99.098	0.0002	Stimulus/S128	2	495490		
105.939	0.0002	Stimulus/S128	2	529695		
113.7806	0.0002	Stimulus/S128	2	568903		
119.6146	0.0002	Stimulus/S128	2	598073		
125.4486	0.0002	Stimulus/S128	2	627243		
132.2828	0.0002	Stimulus/S128	2	661414		
138.117	0.0002	Stimulus/S128	2	690585		
144.951	0.0002	Stimulus/S128	2	724755		
150.7852	0.0002	Stimulus/S128	2	753926		
157.6194	0.0002	Stimulus/S128	2	788097		
164.4536	0.0002	Stimulus/S128	2	822268		
170.2878	0.0002	Stimulus/S128	2	851439		
178.129	0.0002	Stimulus/S128	2	890645		
183.963	0.0002	Stimulus/S128	2	919815		
189.7972	0.0002	Stimulus/S128	2	948986		
197.6386	0.0002	Stimulus/S128	2	988193		
204.4726	0.0002	Stimulus/S128	2	1022363		
212.314	0.0002	Stimulus/S128	2	1061570		
219.1552	0.0002	Stimulus/S128	2	1095776		
224.9894	0.0002	Stimulus/S128	2	1124947		
231.8236	0.0002	Stimulus/S128	2	1159118		
238.6646	0.0002	Stimulus/S128	2	1193323		
244.4988	0.0002	Stimulus/S128	2	1222494		
251.3384	0.0002	Stimulus/S128	2	1256692		
257.174	0.0002	Stimulus/S128	2	1285870		
265.0154	0.0002	Stimulus/S128	2	1325077		
270.8494	0.0002	Stimulus/S128	2	1354247		
278.6906	0.0002	Stimulus/S128	2	1393453		
286.532	0.0002	Stimulus/S128	2	1432660		
294.3734	0.0002	Stimulus/S128	2	1471867		
302.2146	0.0002	Stimulus/S128	2	1511073		
310.056	0.0002	Stimulus/S128	2	1550280		
317.8972	0.0002	Stimulus/S128	2	1589486		
325.7386	0.0002	Stimulus/S128	2	1628693		
331.5726	0.0002	Stimulus/S128	2	1657863		
339.4278	0.0002	Stimulus/S128	2	1697139		
345.2618	0.0002	Stimulus/S128	2	1726309		
352.103	0.0002	Stimulus/S128	2	1760515		
357.9372	0.0002	Stimulus/S128	2	1789686		
363.7782	0.0002	Stimulus/S128	2	1818891		
369.6122	0.0002	Stimulus/S128	2	1848061		
