onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	60.0	72.0
6.5208	0.0002	Stimulus/S128	2	32604	60.0	72.0
14.5978	0.0002	Stimulus/S128	2	72989	60.0	72.0
20.668	0.0002	Stimulus/S128	2	103340	60.0	72.0
28.7386	0.0002	Stimulus/S128	2	143693	60.0	72.0
35.802	0.0002	Stimulus/S128	2	179010	60.0	72.0
41.8652	0.0002	Stimulus/S128	2	209326	60.0	72.0
48.9286	0.0002	Stimulus/S128	2	244643	60.0	72.0
55.992	0.0002	Stimulus/S128	2	279960	60.0	72.0
64.0556	0.0002	Stimulus/S128	2	320278	60.0	72.0
70.1326	0.0002	Stimulus/S128	2	350663	60.0	72.0
76.2098	0.0002	Stimulus/S128	2	381049	60.0	72.0
84.2874	0.0002	Stimulus/S128	2	421437	60.0	72.0
91.3578	0.0002	Stimulus/S128	2	456789	60.0	72.0
98.4212	0.0002	Stimulus/S128	2	492106	60.0	72.0
106.4846	0.0002	Stimulus/S128	2	532423	60.0	72.0
113.569	0.0002	Stimulus/S128	2	567845	60.0	72.0
120.6392	0.0002	Stimulus/S128	2	603196	60.0	72.0
128.7376	0.0002	Stimulus/S128	2	643688	60.0	72.0
134.8146	0.0002	Stimulus/S128	2	674073	60.0	72.0
140.878	0.0002	Stimulus/S128	2	704390	60.0	72.0
146.9482	0.0002	Stimulus/S128	2	734741	60.0	72.0
155.0186	0.0002	Stimulus/S128	2	775093	60.0	72.0
161.103	0.0002	Stimulus/S128	2	805515	60.0	72.0
167.173	0.0002	Stimulus/S128	2	835865	60.0	72.0
174.2434	0.0002	Stimulus/S128	2	871217	60.0	72.0
182.307	0.0002	Stimulus/S128	2	911535	60.0	72.0
190.3844	0.0002	Stimulus/S128	2	951922	60.0	72.0
197.4546	0.0002	Stimulus/S128	2	987273	60.0	72.0
203.518	0.0002	Stimulus/S128	2	1017590	60.0	72.0
210.5884	0.0002	Stimulus/S128	2	1052942	60.0	72.0
217.6588	0.0002	Stimulus/S128	2	1088294	60.0	72.0
225.7346	0.0002	Stimulus/S128	2	1128673	60.0	72.0
231.7994	0.0002	Stimulus/S128	2	1158997	60.0	72.0
237.8626	0.0002	Stimulus/S128	2	1189313	60.0	72.0
245.947	0.0002	Stimulus/S128	2	1229735	60.0	72.0
254.0176	0.0002	Stimulus/S128	2	1270088	60.0	72.0
261.1434	0.0002	Stimulus/S128	2	1305717	60.0	72.0
267.2138	0.0002	Stimulus/S128	2	1336069	60.0	72.0
275.2982	0.0002	Stimulus/S128	2	1376491	60.0	72.0
283.3754	0.0002	Stimulus/S128	2	1416877	60.0	72.0
289.4388	0.0002	Stimulus/S128	2	1447194	60.0	72.0
296.523	0.0002	Stimulus/S128	2	1482615	60.0	72.0
303.5866	0.0002	Stimulus/S128	2	1517933	60.0	72.0
310.6638	0.0002	Stimulus/S128	2	1553319	60.0	72.0
316.734	0.0002	Stimulus/S128	2	1583670	60.0	72.0
322.8182	0.0002	Stimulus/S128	2	1614091	60.0	72.0
330.8818	0.0002	Stimulus/S128	2	1654409	60.0	72.0
338.9452	0.0002	Stimulus/S128	2	1694726	60.0	72.0
347.0088	0.0002	Stimulus/S128	2	1735044	60.0	72.0
354.0722	0.0002	Stimulus/S128	2	1770361	60.0	72.0
362.1426	0.0002	Stimulus/S128	2	1810713	60.0	72.0
369.206	0.0002	Stimulus/S128	2	1846030	60.0	72.0
375.2762	0.0002	Stimulus/S128	2	1876381	60.0	72.0
381.3534	0.0002	Stimulus/S128	2	1906767	60.0	72.0
