onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
8.1938	0.0002	Stimulus/S128	2	40969		
16.2574	0.0002	Stimulus/S128	2	81287		
22.3206	0.0002	Stimulus/S128	2	111603		
30.3982	0.0002	Stimulus/S128	2	151991		
38.4616	0.0002	Stimulus/S128	2	192308		
46.532	0.0002	Stimulus/S128	2	232660		
54.6026	0.0002	Stimulus/S128	2	273013		
61.666	0.0002	Stimulus/S128	2	308330		
67.7292	0.0002	Stimulus/S128	2	338646		
73.7924	0.0002	Stimulus/S128	2	368962		
80.8698	0.0002	Stimulus/S128	2	404349		
87.9332	0.0002	Stimulus/S128	2	439666		
96.0202	0.0002	Stimulus/S128	2	480101		
103.1018	0.0002	Stimulus/S128	2	515509		
110.1652	0.0002	Stimulus/S128	2	550826		
117.2288	0.0002	Stimulus/S128	2	586144		
124.299	0.0002	Stimulus/S128	2	621495		
130.3694	0.0002	Stimulus/S128	2	651847		
136.4326	0.0002	Stimulus/S128	2	682163		
144.51	0.0002	Stimulus/S128	2	722550		
151.5804	0.0002	Stimulus/S128	2	757902		
157.6436	0.0002	Stimulus/S128	2	788218		
163.707	0.0002	Stimulus/S128	2	818535		
169.7702	0.0002	Stimulus/S128	2	848851		
175.8474	0.0002	Stimulus/S128	2	879237		
183.918	0.0002	Stimulus/S128	2	919590		
189.9812	0.0002	Stimulus/S128	2	949906		
196.0446	0.0002	Stimulus/S128	2	980223		
204.122	0.0002	Stimulus/S128	2	1020610		
210.1852	0.0002	Stimulus/S128	2	1050926		
216.2486	0.0002	Stimulus/S128	2	1081243		
222.3258	0.0002	Stimulus/S128	2	1111629		
229.396	0.0002	Stimulus/S128	2	1146980		
236.4666	0.0002	Stimulus/S128	2	1182333		
243.5438	0.0002	Stimulus/S128	2	1217719		
250.621	0.0002	Stimulus/S128	2	1253105		
258.6846	0.0002	Stimulus/S128	2	1293423		
266.7482	0.0002	Stimulus/S128	2	1333741		
272.8114	0.0002	Stimulus/S128	2	1364057		
280.875	0.0002	Stimulus/S128	2	1404375		
288.9386	0.0002	Stimulus/S128	2	1444693		
297.0022	0.0002	Stimulus/S128	2	1485011		
304.0656	0.0002	Stimulus/S128	2	1520328		
311.129	0.0002	Stimulus/S128	2	1555645		
318.1924	0.0002	Stimulus/S128	2	1590962		
326.263	0.0002	Stimulus/S128	2	1631315		
332.333	0.0002	Stimulus/S128	2	1661665		
338.4034	0.0002	Stimulus/S128	2	1692017		
345.4668	0.0002	Stimulus/S128	2	1727334		
353.5442	0.0002	Stimulus/S128	2	1767721		
361.6148	0.0002	Stimulus/S128	2	1808074		
367.6918	0.0002	Stimulus/S128	2	1838459		
375.7694	0.0002	Stimulus/S128	2	1878847		
382.8398	0.0002	Stimulus/S128	2	1914199		
