onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
6.2912	0.0002	Stimulus/S128	2	31456		
13.1254	0.0002	Stimulus/S128	2	65627		
19.9596	0.0002	Stimulus/S128	2	99798		
27.794	0.0002	Stimulus/S128	2	138970		
35.6284	0.0002	Stimulus/S128	2	178142		
41.4624	0.0002	Stimulus/S128	2	207312		
47.2966	0.0002	Stimulus/S128	2	236483		
54.1306	0.0002	Stimulus/S128	2	270653		
61.965	0.0002	Stimulus/S128	2	309825		
69.7994	0.0002	Stimulus/S128	2	348997		
76.6336	0.0002	Stimulus/S128	2	383168		
82.4676	0.0002	Stimulus/S128	2	412338		
89.302	0.0002	Stimulus/S128	2	446510		
95.136	0.0002	Stimulus/S128	2	475680		
102.9704	0.0002	Stimulus/S128	2	514852		
109.8046	0.0002	Stimulus/S128	2	549023		
115.6386	0.0002	Stimulus/S128	2	578193		
123.473	0.0002	Stimulus/S128	2	617365		
130.3074	0.0002	Stimulus/S128	2	651537		
138.1416	0.0002	Stimulus/S128	2	690708		
145.9762	0.0002	Stimulus/S128	2	729881		
152.8102	0.0002	Stimulus/S128	2	764051		
159.6444	0.0002	Stimulus/S128	2	798222		
165.4786	0.0002	Stimulus/S128	2	827393		
172.3128	0.0002	Stimulus/S128	2	861564		
178.1468	0.0002	Stimulus/S128	2	890734		
183.981	0.0002	Stimulus/S128	2	919905		
190.8152	0.0002	Stimulus/S128	2	954076		
197.6494	0.0002	Stimulus/S128	2	988247		
205.4838	0.0002	Stimulus/S128	2	1027419		
211.3178	0.0002	Stimulus/S128	2	1056589		
218.152	0.0002	Stimulus/S128	2	1090760		
225.9864	0.0002	Stimulus/S128	2	1129932		
233.8208	0.0002	Stimulus/S128	2	1169104		
241.655	0.0002	Stimulus/S128	2	1208275		
249.4894	0.0002	Stimulus/S128	2	1247447		
255.3236	0.0002	Stimulus/S128	2	1276618		
263.1578	0.0002	Stimulus/S128	2	1315789		
268.992	0.0002	Stimulus/S128	2	1344960		
275.8262	0.0002	Stimulus/S128	2	1379131		
282.6604	0.0002	Stimulus/S128	2	1413302		
290.4948	0.0002	Stimulus/S128	2	1452474		
296.3288	0.0002	Stimulus/S128	2	1481644		
304.1632	0.0002	Stimulus/S128	2	1520816		
309.9974	0.0002	Stimulus/S128	2	1549987		
316.8316	0.0002	Stimulus/S128	2	1584158		
323.6658	0.0002	Stimulus/S128	2	1618329		
329.4998	0.0002	Stimulus/S128	2	1647499		
335.334	0.0002	Stimulus/S128	2	1676670		
341.168	0.0002	Stimulus/S128	2	1705840		
347.0022	0.0002	Stimulus/S128	2	1735011		
354.8364	0.0002	Stimulus/S128	2	1774182		
362.6708	0.0002	Stimulus/S128	2	1813354		
368.5048	0.0002	Stimulus/S128	2	1842524		
