onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	47.0	62.0
25.551	0.0002	Stimulus/S128	2	127755	47.0	62.0
33.6284	0.0002	Stimulus/S128	2	168142	47.0	62.0
40.7058	0.0002	Stimulus/S128	2	203529	47.0	62.0
48.797	0.0002	Stimulus/S128	2	243985	47.0	62.0
55.8744	0.0002	Stimulus/S128	2	279372	47.0	62.0
62.9378	0.0002	Stimulus/S128	2	314689	47.0	62.0
71.0014	0.0002	Stimulus/S128	2	355007	47.0	62.0
78.0648	0.0002	Stimulus/S128	2	390324	47.0	62.0
84.128	0.0002	Stimulus/S128	2	420640	47.0	62.0
90.1982	0.0002	Stimulus/S128	2	450991	47.0	62.0
96.2754	0.0002	Stimulus/S128	2	481377	47.0	62.0
104.339	0.0002	Stimulus/S128	2	521695	47.0	62.0
111.4024	0.0002	Stimulus/S128	2	557012	47.0	62.0
119.466	0.0002	Stimulus/S128	2	597330	47.0	62.0
125.5292	0.0002	Stimulus/S128	2	627646	47.0	62.0
131.5924	0.0002	Stimulus/S128	2	657962	47.0	62.0
137.6558	0.0002	Stimulus/S128	2	688279	47.0	62.0
145.7192	0.0002	Stimulus/S128	2	728596	47.0	62.0
153.7828	0.0002	Stimulus/S128	2	768914	47.0	62.0
161.852	0.0002	Stimulus/S128	2	809260	47.0	62.0
168.9168	0.0002	Stimulus/S128	2	844584	47.0	62.0
176.9872	0.0002	Stimulus/S128	2	884936	47.0	62.0
185.0508	0.0002	Stimulus/S128	2	925254	47.0	62.0
191.1216	0.0002	Stimulus/S128	2	955608	47.0	62.0
199.2054	0.0002	Stimulus/S128	2	996027	47.0	62.0
206.2758	0.0002	Stimulus/S128	2	1031379	47.0	62.0
213.367	0.0002	Stimulus/S128	2	1066835	47.0	62.0
220.4374	0.0002	Stimulus/S128	2	1102187	47.0	62.0
226.5076	0.0002	Stimulus/S128	2	1132538	47.0	62.0
232.571	0.0002	Stimulus/S128	2	1162855	47.0	62.0
239.6412	0.0002	Stimulus/S128	2	1198206	47.0	62.0
247.7048	0.0002	Stimulus/S128	2	1238524	47.0	62.0
254.768	0.0002	Stimulus/S128	2	1273840	47.0	62.0
261.8524	0.0002	Stimulus/S128	2	1309262	47.0	62.0
269.9298	0.0002	Stimulus/S128	2	1349649	47.0	62.0
277.0212	0.0002	Stimulus/S128	2	1385106	47.0	62.0
283.0982	0.0002	Stimulus/S128	2	1415491	47.0	62.0
289.1616	0.0002	Stimulus/S128	2	1445808	47.0	62.0
295.2526	0.0002	Stimulus/S128	2	1476263	47.0	62.0
303.323	0.0002	Stimulus/S128	2	1516615	47.0	62.0
310.4004	0.0002	Stimulus/S128	2	1552002	47.0	62.0
317.4638	0.0002	Stimulus/S128	2	1587319	47.0	62.0
325.5274	0.0002	Stimulus/S128	2	1627637	47.0	62.0
331.5976	0.0002	Stimulus/S128	2	1657988	47.0	62.0
339.675	0.0002	Stimulus/S128	2	1698375	47.0	62.0
346.7384	0.0002	Stimulus/S128	2	1733692	47.0	62.0
352.8016	0.0002	Stimulus/S128	2	1764008	47.0	62.0
358.8926	0.0002	Stimulus/S128	2	1794463	47.0	62.0
364.9562	0.0002	Stimulus/S128	2	1824781	47.0	62.0
371.0332	0.0002	Stimulus/S128	2	1855166	47.0	62.0
378.0966	0.0002	Stimulus/S128	2	1890483	47.0	62.0
386.1602	0.0002	Stimulus/S128	2	1930801	47.0	62.0
392.2234	0.0002	Stimulus/S128	2	1961117	47.0	62.0
399.2938	0.0002	Stimulus/S128	2	1996469	47.0	62.0
