onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	47.0	62.0
9.892	0.0002	Stimulus/S128	2	49460	47.0	62.0
16.9622	0.0002	Stimulus/S128	2	84811	47.0	62.0
24.0396	0.0002	Stimulus/S128	2	120198	47.0	62.0
31.1308	0.0002	Stimulus/S128	2	155654	47.0	62.0
39.2082	0.0002	Stimulus/S128	2	196041	47.0	62.0
45.2784	0.0002	Stimulus/S128	2	226392	47.0	62.0
52.3488	0.0002	Stimulus/S128	2	261744	47.0	62.0
60.4264	0.0002	Stimulus/S128	2	302132	47.0	62.0
68.4968	0.0002	Stimulus/S128	2	342484	47.0	62.0
74.567	0.0002	Stimulus/S128	2	372835	47.0	62.0
80.6582	0.0002	Stimulus/S128	2	403291	47.0	62.0
86.7214	0.0002	Stimulus/S128	2	433607	47.0	62.0
93.7848	0.0002	Stimulus/S128	2	468924	47.0	62.0
100.8482	0.0002	Stimulus/S128	2	504241	47.0	62.0
108.9116	0.0002	Stimulus/S128	2	544558	47.0	62.0
115.9752	0.0002	Stimulus/S128	2	579876	47.0	62.0
122.0384	0.0002	Stimulus/S128	2	610192	47.0	62.0
130.1088	0.0002	Stimulus/S128	2	650544	47.0	62.0
137.1792	0.0002	Stimulus/S128	2	685896	47.0	62.0
145.2898	0.0002	Stimulus/S128	2	726449	47.0	62.0
153.3688	0.0002	Stimulus/S128	2	766844	47.0	62.0
160.46	0.0002	Stimulus/S128	2	802300	47.0	62.0
167.5442	0.0002	Stimulus/S128	2	837721	47.0	62.0
175.608	0.0002	Stimulus/S128	2	878040	47.0	62.0
181.6712	0.0002	Stimulus/S128	2	908356	47.0	62.0
189.7348	0.0002	Stimulus/S128	2	948674	47.0	62.0
195.798	0.0002	Stimulus/S128	2	978990	47.0	62.0
202.8614	0.0002	Stimulus/S128	2	1014307	47.0	62.0
210.9388	0.0002	Stimulus/S128	2	1054694	47.0	62.0
217.009	0.0002	Stimulus/S128	2	1085045	47.0	62.0
224.0724	0.0002	Stimulus/S128	2	1120362	47.0	62.0
230.1358	0.0002	Stimulus/S128	2	1150679	47.0	62.0
236.199	0.0002	Stimulus/S128	2	1180995	47.0	62.0
242.2622	0.0002	Stimulus/S128	2	1211311	47.0	62.0
249.3256	0.0002	Stimulus/S128	2	1246628	47.0	62.0
255.4098	0.0002	Stimulus/S128	2	1277049	47.0	62.0
261.473	0.0002	Stimulus/S128	2	1307365	47.0	62.0
268.5506	0.0002	Stimulus/S128	2	1342753	47.0	62.0
274.6346	0.0002	Stimulus/S128	2	1373173	47.0	62.0
280.7048	0.0002	Stimulus/S128	2	1403524	47.0	62.0
288.7876	0.0002	Stimulus/S128	2	1443938	47.0	62.0
296.8596	0.0002	Stimulus/S128	2	1484298	47.0	62.0
302.923	0.0002	Stimulus/S128	2	1514615	47.0	62.0
311.0004	0.0002	Stimulus/S128	2	1555002	47.0	62.0
318.0776	0.0002	Stimulus/S128	2	1590388	47.0	62.0
326.169	0.0002	Stimulus/S128	2	1630845	47.0	62.0
332.2462	0.0002	Stimulus/S128	2	1661231	47.0	62.0
339.3166	0.0002	Stimulus/S128	2	1696583	47.0	62.0
347.4566	0.0002	Stimulus/S128	2	1737283	47.0	62.0
354.5268	0.0002	Stimulus/S128	2	1772634	47.0	62.0
362.5904	0.0002	Stimulus/S128	2	1812952	47.0	62.0
370.6538	0.0002	Stimulus/S128	2	1853269	47.0	62.0
377.7174	0.0002	Stimulus/S128	2	1888587	47.0	62.0
383.786	0.0002	Stimulus/S128	2	1918930	47.0	62.0
