onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	60.0	72.0
14.8512	0.0002	Stimulus/S128	2	74256	60.0	72.0
20.9214	0.0002	Stimulus/S128	2	104607	60.0	72.0
27.9918	0.0002	Stimulus/S128	2	139959	60.0	72.0
34.055	0.0002	Stimulus/S128	2	170275	60.0	72.0
41.1184	0.0002	Stimulus/S128	2	205592	60.0	72.0
49.182	0.0002	Stimulus/S128	2	245910	60.0	72.0
57.2664	0.0002	Stimulus/S128	2	286332	60.0	72.0
63.3434	0.0002	Stimulus/S128	2	316717	60.0	72.0
70.4486	0.0002	Stimulus/S128	2	352243	60.0	72.0
78.519	0.0002	Stimulus/S128	2	392595	60.0	72.0
84.6032	0.0002	Stimulus/S128	2	423016	60.0	72.0
92.6736	0.0002	Stimulus/S128	2	463368	60.0	72.0
99.744	0.0002	Stimulus/S128	2	498720	60.0	72.0
106.8074	0.0002	Stimulus/S128	2	534037	60.0	72.0
112.8846	0.0002	Stimulus/S128	2	564423	60.0	72.0
120.9482	0.0002	Stimulus/S128	2	604741	60.0	72.0
129.0256	0.0002	Stimulus/S128	2	645128	60.0	72.0
137.1168	0.0002	Stimulus/S128	2	685584	60.0	72.0
145.1944	0.0002	Stimulus/S128	2	725972	60.0	72.0
152.2856	0.0002	Stimulus/S128	2	761428	60.0	72.0
159.3628	0.0002	Stimulus/S128	2	796814	60.0	72.0
165.4262	0.0002	Stimulus/S128	2	827131	60.0	72.0
172.4894	0.0002	Stimulus/S128	2	862447	60.0	72.0
178.572	0.0002	Stimulus/S128	2	892860	60.0	72.0
184.6578	0.0002	Stimulus/S128	2	923289	60.0	72.0
191.7282	0.0002	Stimulus/S128	2	958641	60.0	72.0
199.7946	0.0002	Stimulus/S128	2	998973	60.0	72.0
207.862	0.0002	Stimulus/S128	2	1039310	60.0	72.0
213.9254	0.0002	Stimulus/S128	2	1069627	60.0	72.0
219.9886	0.0002	Stimulus/S128	2	1099943	60.0	72.0
227.052	0.0002	Stimulus/S128	2	1135260	60.0	72.0
233.1416	0.0002	Stimulus/S128	2	1165708	60.0	72.0
240.2064	0.0002	Stimulus/S128	2	1201032	60.0	72.0
248.2772	0.0002	Stimulus/S128	2	1241386	60.0	72.0
254.3404	0.0002	Stimulus/S128	2	1271702	60.0	72.0
260.4036	0.0002	Stimulus/S128	2	1302018	60.0	72.0
268.467	0.0002	Stimulus/S128	2	1342335	60.0	72.0
276.5446	0.0002	Stimulus/S128	2	1382723	60.0	72.0
282.6356	0.0002	Stimulus/S128	2	1413178	60.0	72.0
289.7058	0.0002	Stimulus/S128	2	1448529	60.0	72.0
297.7694	0.0002	Stimulus/S128	2	1488847	60.0	72.0
303.8328	0.0002	Stimulus/S128	2	1519164	60.0	72.0
310.8962	0.0002	Stimulus/S128	2	1554481	60.0	72.0
317.9604	0.0002	Stimulus/S128	2	1589802	60.0	72.0
324.0228	0.0002	Stimulus/S128	2	1620114	60.0	72.0
331.0862	0.0002	Stimulus/S128	2	1655431	60.0	72.0
339.233	0.0002	Stimulus/S128	2	1696165	60.0	72.0
345.2966	0.0002	Stimulus/S128	2	1726483	60.0	72.0
352.3598	0.0002	Stimulus/S128	2	1761799	60.0	72.0
358.437	0.0002	Stimulus/S128	2	1792185	60.0	72.0
365.5004	0.0002	Stimulus/S128	2	1827502	60.0	72.0
373.571	0.0002	Stimulus/S128	2	1867855	60.0	72.0
380.655	0.0002	Stimulus/S128	2	1903275	60.0	72.0
388.7256	0.0002	Stimulus/S128	2	1943628	60.0	72.0
