onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	60.0	72.0
18.5152	0.0002	Stimulus/S128	2	92576	60.0	72.0
24.5924	0.0002	Stimulus/S128	2	122962	60.0	72.0
32.6838	0.0002	Stimulus/S128	2	163419	60.0	72.0
39.7614	0.0002	Stimulus/S128	2	198807	60.0	72.0
46.8452	0.0002	Stimulus/S128	2	234226	60.0	72.0
54.9228	0.0002	Stimulus/S128	2	274614	60.0	72.0
61.986	0.0002	Stimulus/S128	2	309930	60.0	72.0
69.0494	0.0002	Stimulus/S128	2	345247	60.0	72.0
75.1128	0.0002	Stimulus/S128	2	375564	60.0	72.0
82.2108	0.0002	Stimulus/S128	2	411054	60.0	72.0
89.2814	0.0002	Stimulus/S128	2	446407	60.0	72.0
95.3516	0.0002	Stimulus/S128	2	476758	60.0	72.0
102.4148	0.0002	Stimulus/S128	2	512074	60.0	72.0
108.4782	0.0002	Stimulus/S128	2	542391	60.0	72.0
114.5414	0.0002	Stimulus/S128	2	572707	60.0	72.0
122.605	0.0002	Stimulus/S128	2	613025	60.0	72.0
128.689	0.0002	Stimulus/S128	2	643445	60.0	72.0
135.7526	0.0002	Stimulus/S128	2	678763	60.0	72.0
141.8158	0.0002	Stimulus/S128	2	709079	60.0	72.0
148.8862	0.0002	Stimulus/S128	2	744431	60.0	72.0
154.9636	0.0002	Stimulus/S128	2	774818	60.0	72.0
162.0476	0.0002	Stimulus/S128	2	810238	60.0	72.0
168.1108	0.0002	Stimulus/S128	2	840554	60.0	72.0
176.1882	0.0002	Stimulus/S128	2	880941	60.0	72.0
182.2516	0.0002	Stimulus/S128	2	911258	60.0	72.0
188.3218	0.0002	Stimulus/S128	2	941609	60.0	72.0
195.406	0.0002	Stimulus/S128	2	977030	60.0	72.0
203.4766	0.0002	Stimulus/S128	2	1017383	60.0	72.0
210.5398	0.0002	Stimulus/S128	2	1052699	60.0	72.0
218.6034	0.0002	Stimulus/S128	2	1093017	60.0	72.0
225.667	0.0002	Stimulus/S128	2	1128335	60.0	72.0
231.7302	0.0002	Stimulus/S128	2	1158651	60.0	72.0
237.7934	0.0002	Stimulus/S128	2	1188967	60.0	72.0
245.8708	0.0002	Stimulus/S128	2	1229354	60.0	72.0
253.9414	0.0002	Stimulus/S128	2	1269707	60.0	72.0
262.0188	0.0002	Stimulus/S128	2	1310094	60.0	72.0
269.089	0.0002	Stimulus/S128	2	1345445	60.0	72.0
277.1528	0.0002	Stimulus/S128	2	1385764	60.0	72.0
285.2232	0.0002	Stimulus/S128	2	1426116	60.0	72.0
291.2934	0.0002	Stimulus/S128	2	1456467	60.0	72.0
299.3638	0.0002	Stimulus/S128	2	1496819	60.0	72.0
305.434	0.0002	Stimulus/S128	2	1527170	60.0	72.0
312.5182	0.0002	Stimulus/S128	2	1562591	60.0	72.0
320.5888	0.0002	Stimulus/S128	2	1602944	60.0	72.0
327.673	0.0002	Stimulus/S128	2	1638365	60.0	72.0
335.7434	0.0002	Stimulus/S128	2	1678717	60.0	72.0
343.8418	0.0002	Stimulus/S128	2	1719209	60.0	72.0
351.9192	0.0002	Stimulus/S128	2	1759596	60.0	72.0
357.9894	0.0002	Stimulus/S128	2	1789947	60.0	72.0
365.0528	0.0002	Stimulus/S128	2	1825264	60.0	72.0
371.1492	0.0002	Stimulus/S128	2	1855746	60.0	72.0
378.2212	0.0002	Stimulus/S128	2	1891106	60.0	72.0
386.2848	0.0002	Stimulus/S128	2	1931424	60.0	72.0
394.3626	0.0002	Stimulus/S128	2	1971813	60.0	72.0
