onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	54.0	59.0
10.0494	0.0002	Stimulus/S128	2	50247	54.0	59.0
16.1122	0.0002	Stimulus/S128	2	80561	54.0	59.0
23.2034	0.0002	Stimulus/S128	2	116017	54.0	59.0
29.2736	0.0002	Stimulus/S128	2	146368	54.0	59.0
37.3442	0.0002	Stimulus/S128	2	186721	54.0	59.0
45.4076	0.0002	Stimulus/S128	2	227038	54.0	59.0
52.478	0.0002	Stimulus/S128	2	262390	54.0	59.0
58.5414	0.0002	Stimulus/S128	2	292707	54.0	59.0
66.6118	0.0002	Stimulus/S128	2	333059	54.0	59.0
72.7028	0.0002	Stimulus/S128	2	363514	54.0	59.0
80.7804	0.0002	Stimulus/S128	2	403902	54.0	59.0
87.8506	0.0002	Stimulus/S128	2	439253	54.0	59.0
95.9142	0.0002	Stimulus/S128	2	479571	54.0	59.0
101.9914	0.0002	Stimulus/S128	2	509957	54.0	59.0
109.055	0.0002	Stimulus/S128	2	545275	54.0	59.0
115.118	0.0002	Stimulus/S128	2	575590	54.0	59.0
121.1814	0.0002	Stimulus/S128	2	605907	54.0	59.0
128.2448	0.0002	Stimulus/S128	2	641224	54.0	59.0
136.3152	0.0002	Stimulus/S128	2	681576	54.0	59.0
143.3856	0.0002	Stimulus/S128	2	716928	54.0	59.0
151.456	0.0002	Stimulus/S128	2	757280	54.0	59.0
159.5196	0.0002	Stimulus/S128	2	797598	54.0	59.0
167.5832	0.0002	Stimulus/S128	2	837916	54.0	59.0
173.6466	0.0002	Stimulus/S128	2	868233	54.0	59.0
179.7098	0.0002	Stimulus/S128	2	898549	54.0	59.0
185.794	0.0002	Stimulus/S128	2	928970	54.0	59.0
193.8574	0.0002	Stimulus/S128	2	969287	54.0	59.0
200.9208	0.0002	Stimulus/S128	2	1004604	54.0	59.0
207.9842	0.0002	Stimulus/S128	2	1039921	54.0	59.0
215.0476	0.0002	Stimulus/S128	2	1075238	54.0	59.0
222.111	0.0002	Stimulus/S128	2	1110555	54.0	59.0
229.1746	0.0002	Stimulus/S128	2	1145873	54.0	59.0
236.2588	0.0002	Stimulus/S128	2	1181294	54.0	59.0
244.3292	0.0002	Stimulus/S128	2	1221646	54.0	59.0
251.4138	0.0002	Stimulus/S128	2	1257069	54.0	59.0
257.4836	0.0002	Stimulus/S128	2	1287418	54.0	59.0
265.5472	0.0002	Stimulus/S128	2	1327736	54.0	59.0
272.6176	0.0002	Stimulus/S128	2	1363088	54.0	59.0
278.6948	0.0002	Stimulus/S128	2	1393474	54.0	59.0
285.7582	0.0002	Stimulus/S128	2	1428791	54.0	59.0
291.8214	0.0002	Stimulus/S128	2	1459107	54.0	59.0
299.899	0.0002	Stimulus/S128	2	1499495	54.0	59.0
306.9624	0.0002	Stimulus/S128	2	1534812	54.0	59.0
315.0328	0.0002	Stimulus/S128	2	1575164	54.0	59.0
323.1034	0.0002	Stimulus/S128	2	1615517	54.0	59.0
329.186	0.0002	Stimulus/S128	2	1645930	54.0	59.0
337.2512	0.0002	Stimulus/S128	2	1686256	54.0	59.0
344.3144	0.0002	Stimulus/S128	2	1721572	54.0	59.0
350.3984	0.0002	Stimulus/S128	2	1751992	54.0	59.0
356.4618	0.0002	Stimulus/S128	2	1782309	54.0	59.0
363.5252	0.0002	Stimulus/S128	2	1817626	54.0	59.0
371.5956	0.0002	Stimulus/S128	2	1857978	54.0	59.0
377.659	0.0002	Stimulus/S128	2	1888295	54.0	59.0
385.7226	0.0002	Stimulus/S128	2	1928613	54.0	59.0
