onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	54.0	59.0
21.7948	0.0002	Stimulus/S128	2	108974	54.0	59.0
28.8722	0.0002	Stimulus/S128	2	144361	54.0	59.0
35.9354	0.0002	Stimulus/S128	2	179677	54.0	59.0
41.9986	0.0002	Stimulus/S128	2	209993	54.0	59.0
49.069	0.0002	Stimulus/S128	2	245345	54.0	59.0
55.1322	0.0002	Stimulus/S128	2	275661	54.0	59.0
63.1958	0.0002	Stimulus/S128	2	315979	54.0	59.0
71.2594	0.0002	Stimulus/S128	2	356297	54.0	59.0
78.3298	0.0002	Stimulus/S128	2	391649	54.0	59.0
84.4002	0.0002	Stimulus/S128	2	422001	54.0	59.0
92.4708	0.0002	Stimulus/S128	2	462354	54.0	59.0
99.5408	0.0002	Stimulus/S128	2	497704	54.0	59.0
106.6042	0.0002	Stimulus/S128	2	533021	54.0	59.0
112.6676	0.0002	Stimulus/S128	2	563338	54.0	59.0
119.7378	0.0002	Stimulus/S128	2	598689	54.0	59.0
127.8292	0.0002	Stimulus/S128	2	639146	54.0	59.0
133.8994	0.0002	Stimulus/S128	2	669497	54.0	59.0
139.9696	0.0002	Stimulus/S128	2	699848	54.0	59.0
147.04	0.0002	Stimulus/S128	2	735200	54.0	59.0
154.1104	0.0002	Stimulus/S128	2	770552	54.0	59.0
162.1808	0.0002	Stimulus/S128	2	810904	54.0	59.0
168.251	0.0002	Stimulus/S128	2	841255	54.0	59.0
176.3354	0.0002	Stimulus/S128	2	881677	54.0	59.0
184.413	0.0002	Stimulus/S128	2	922065	54.0	59.0
190.4902	0.0002	Stimulus/S128	2	952451	54.0	59.0
196.5534	0.0002	Stimulus/S128	2	982767	54.0	59.0
202.6166	0.0002	Stimulus/S128	2	1013083	54.0	59.0
210.6802	0.0002	Stimulus/S128	2	1053401	54.0	59.0
217.7576	0.0002	Stimulus/S128	2	1088788	54.0	59.0
224.821	0.0002	Stimulus/S128	2	1124105	54.0	59.0
232.8844	0.0002	Stimulus/S128	2	1164422	54.0	59.0
240.9674	0.0002	Stimulus/S128	2	1204837	54.0	59.0
247.032	0.0002	Stimulus/S128	2	1235160	54.0	59.0
253.1094	0.0002	Stimulus/S128	2	1265547	54.0	59.0
260.1726	0.0002	Stimulus/S128	2	1300863	54.0	59.0
268.2362	0.0002	Stimulus/S128	2	1341181	54.0	59.0
275.3414	0.0002	Stimulus/S128	2	1376707	54.0	59.0
283.4188	0.0002	Stimulus/S128	2	1417094	54.0	59.0
289.496	0.0002	Stimulus/S128	2	1447480	54.0	59.0
295.5662	0.0002	Stimulus/S128	2	1477831	54.0	59.0
301.6294	0.0002	Stimulus/S128	2	1508147	54.0	59.0
309.693	0.0002	Stimulus/S128	2	1548465	54.0	59.0
316.7634	0.0002	Stimulus/S128	2	1583817	54.0	59.0
324.8478	0.0002	Stimulus/S128	2	1624239	54.0	59.0
331.918	0.0002	Stimulus/S128	2	1659590	54.0	59.0
339.0022	0.0002	Stimulus/S128	2	1695011	54.0	59.0
347.0798	0.0002	Stimulus/S128	2	1735399	54.0	59.0
353.143	0.0002	Stimulus/S128	2	1765715	54.0	59.0
359.2132	0.0002	Stimulus/S128	2	1796066	54.0	59.0
367.2838	0.0002	Stimulus/S128	2	1836419	54.0	59.0
375.3612	0.0002	Stimulus/S128	2	1876806	54.0	59.0
381.4452	0.0002	Stimulus/S128	2	1907226	54.0	59.0
388.5366	0.0002	Stimulus/S128	2	1942683	54.0	59.0
395.6068	0.0002	Stimulus/S128	2	1978034	54.0	59.0
