onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	52.0	62.0
13.3766	0.0002	Stimulus/S128	2	66883	52.0	62.0
20.4468	0.0002	Stimulus/S128	2	102234	52.0	62.0
26.5172	0.0002	Stimulus/S128	2	132586	52.0	62.0
34.5806	0.0002	Stimulus/S128	2	172903	52.0	62.0
40.644	0.0002	Stimulus/S128	2	203220	52.0	62.0
48.7144	0.0002	Stimulus/S128	2	243572	52.0	62.0
54.7848	0.0002	Stimulus/S128	2	273924	52.0	62.0
62.8552	0.0002	Stimulus/S128	2	314276	52.0	62.0
70.9674	0.0002	Stimulus/S128	2	354837	52.0	62.0
78.0446	0.0002	Stimulus/S128	2	390223	52.0	62.0
85.1358	0.0002	Stimulus/S128	2	425679	52.0	62.0
91.206	0.0002	Stimulus/S128	2	456030	52.0	62.0
98.2764	0.0002	Stimulus/S128	2	491382	52.0	62.0
104.3396	0.0002	Stimulus/S128	2	521698	52.0	62.0
111.4032	0.0002	Stimulus/S128	2	557016	52.0	62.0
119.4806	0.0002	Stimulus/S128	2	597403	52.0	62.0
127.558	0.0002	Stimulus/S128	2	637790	52.0	62.0
134.6422	0.0002	Stimulus/S128	2	673211	52.0	62.0
142.7128	0.0002	Stimulus/S128	2	713564	52.0	62.0
150.818	0.0002	Stimulus/S128	2	754090	52.0	62.0
157.8952	0.0002	Stimulus/S128	2	789476	52.0	62.0
163.9586	0.0002	Stimulus/S128	2	819793	52.0	62.0
171.022	0.0002	Stimulus/S128	2	855110	52.0	62.0
179.0926	0.0002	Stimulus/S128	2	895463	52.0	62.0
185.1698	0.0002	Stimulus/S128	2	925849	52.0	62.0
193.2402	0.0002	Stimulus/S128	2	966201	52.0	62.0
200.3174	0.0002	Stimulus/S128	2	1001587	52.0	62.0
207.395	0.0002	Stimulus/S128	2	1036975	52.0	62.0
213.4582	0.0002	Stimulus/S128	2	1067291	52.0	62.0
221.5286	0.0002	Stimulus/S128	2	1107643	52.0	62.0
229.5922	0.0002	Stimulus/S128	2	1147961	52.0	62.0
237.6556	0.0002	Stimulus/S128	2	1188278	52.0	62.0
243.719	0.0002	Stimulus/S128	2	1218595	52.0	62.0
251.7826	0.0002	Stimulus/S128	2	1258913	52.0	62.0
258.846	0.0002	Stimulus/S128	2	1294230	52.0	62.0
265.9094	0.0002	Stimulus/S128	2	1329547	52.0	62.0
271.9866	0.0002	Stimulus/S128	2	1359933	52.0	62.0
278.0622	0.0002	Stimulus/S128	2	1390311	52.0	62.0
284.127	0.0002	Stimulus/S128	2	1420635	52.0	62.0
290.2042	0.0002	Stimulus/S128	2	1451021	52.0	62.0
297.2676	0.0002	Stimulus/S128	2	1486338	52.0	62.0
304.331	0.0002	Stimulus/S128	2	1521655	52.0	62.0
310.4082	0.0002	Stimulus/S128	2	1552041	52.0	62.0
316.4784	0.0002	Stimulus/S128	2	1582392	52.0	62.0
322.554	0.0002	Stimulus/S128	2	1612770	52.0	62.0
330.6262	0.0002	Stimulus/S128	2	1653131	52.0	62.0
337.7036	0.0002	Stimulus/S128	2	1688518	52.0	62.0
345.767	0.0002	Stimulus/S128	2	1728835	52.0	62.0
352.8442	0.0002	Stimulus/S128	2	1764221	52.0	62.0
360.9078	0.0002	Stimulus/S128	2	1804539	52.0	62.0
366.9712	0.0002	Stimulus/S128	2	1834856	52.0	62.0
373.0344	0.0002	Stimulus/S128	2	1865172	52.0	62.0
380.0978	0.0002	Stimulus/S128	2	1900489	52.0	62.0
387.1618	0.0002	Stimulus/S128	2	1935809	52.0	62.0
