onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
4.821	0.0002	Stimulus/S128	2	24105		
11.8914	0.0002	Stimulus/S128	2	59457		
19.9758	0.0002	Stimulus/S128	2	99879		
28.0532	0.0002	Stimulus/S128	2	140266		
35.1166	0.0002	Stimulus/S128	2	175583		
41.1868	0.0002	Stimulus/S128	2	205934		
49.2698	0.0002	Stimulus/S128	2	246349		
57.3346	0.0002	Stimulus/S128	2	286673		
63.405	0.0002	Stimulus/S128	2	317025		
69.4752	0.0002	Stimulus/S128	2	347376		
76.5388	0.0002	Stimulus/S128	2	382694		
83.616	0.0002	Stimulus/S128	2	418080		
91.6794	0.0002	Stimulus/S128	2	458397		
98.7566	0.0002	Stimulus/S128	2	493783		
105.8202	0.0002	Stimulus/S128	2	529101		
111.8904	0.0002	Stimulus/S128	2	559452		
119.9608	0.0002	Stimulus/S128	2	599804		
127.0242	0.0002	Stimulus/S128	2	635121		
133.0874	0.0002	Stimulus/S128	2	665437		
139.1646	0.0002	Stimulus/S128	2	695823		
147.235	0.0002	Stimulus/S128	2	736175		
154.3054	0.0002	Stimulus/S128	2	771527		
161.3688	0.0002	Stimulus/S128	2	806844		
168.4322	0.0002	Stimulus/S128	2	842161		
174.4956	0.0002	Stimulus/S128	2	872478		
180.5798	0.0002	Stimulus/S128	2	902899		
188.6432	0.0002	Stimulus/S128	2	943216		
194.7272	0.0002	Stimulus/S128	2	973636		
202.7908	0.0002	Stimulus/S128	2	1013954		
208.854	0.0002	Stimulus/S128	2	1044270		
215.9174	0.0002	Stimulus/S128	2	1079587		
221.9808	0.0002	Stimulus/S128	2	1109904		
228.058	0.0002	Stimulus/S128	2	1140290		
236.1284	0.0002	Stimulus/S128	2	1180642		
243.1918	0.0002	Stimulus/S128	2	1215959		
249.255	0.0002	Stimulus/S128	2	1246275		
255.3184	0.0002	Stimulus/S128	2	1276592		
261.3886	0.0002	Stimulus/S128	2	1306943		
267.4658	0.0002	Stimulus/S128	2	1337329		
273.529	0.0002	Stimulus/S128	2	1367645		
281.5996	0.0002	Stimulus/S128	2	1407998		
288.6838	0.0002	Stimulus/S128	2	1443419		
296.7682	0.0002	Stimulus/S128	2	1483841		
303.8454	0.0002	Stimulus/S128	2	1519227		
311.9158	0.0002	Stimulus/S128	2	1559579		
318.9862	0.0002	Stimulus/S128	2	1594931		
327.064	0.0002	Stimulus/S128	2	1635320		
334.141	0.0002	Stimulus/S128	2	1670705		
342.2046	0.0002	Stimulus/S128	2	1711023		
350.2688	0.0002	Stimulus/S128	2	1751344		
357.3314	0.0002	Stimulus/S128	2	1786657		
365.402	0.0002	Stimulus/S128	2	1827010		
372.4792	0.0002	Stimulus/S128	2	1862396		
378.5634	0.0002	Stimulus/S128	2	1892817		
