onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	54.0	59.0
5.6724	0.0002	Stimulus/S128	2	28362	54.0	59.0
13.764	0.0002	Stimulus/S128	2	68820	54.0	59.0
21.8342	0.0002	Stimulus/S128	2	109171	54.0	59.0
28.9114	0.0002	Stimulus/S128	2	144557	54.0	59.0
34.9746	0.0002	Stimulus/S128	2	174873	54.0	59.0
42.0382	0.0002	Stimulus/S128	2	210191	54.0	59.0
49.1016	0.0002	Stimulus/S128	2	245508	54.0	59.0
56.1652	0.0002	Stimulus/S128	2	280826	54.0	59.0
63.277	0.0002	Stimulus/S128	2	316385	54.0	59.0
69.3542	0.0002	Stimulus/S128	2	346771	54.0	59.0
77.4246	0.0002	Stimulus/S128	2	387123	54.0	59.0
84.4882	0.0002	Stimulus/S128	2	422441	54.0	59.0
90.5514	0.0002	Stimulus/S128	2	452757	54.0	59.0
97.6356	0.0002	Stimulus/S128	2	488178	54.0	59.0
103.7058	0.0002	Stimulus/S128	2	518529	54.0	59.0
110.7954	0.0002	Stimulus/S128	2	553977	54.0	59.0
118.861	0.0002	Stimulus/S128	2	594305	54.0	59.0
124.9308	0.0002	Stimulus/S128	2	624654	54.0	59.0
133.0062	0.0002	Stimulus/S128	2	665031	54.0	59.0
141.0716	0.0002	Stimulus/S128	2	705358	54.0	59.0
149.1352	0.0002	Stimulus/S128	2	745676	54.0	59.0
155.1986	0.0002	Stimulus/S128	2	775993	54.0	59.0
162.2624	0.0002	Stimulus/S128	2	811312	54.0	59.0
168.3392	0.0002	Stimulus/S128	2	841696	54.0	59.0
176.4304	0.0002	Stimulus/S128	2	882152	54.0	59.0
184.5056	0.0002	Stimulus/S128	2	922528	54.0	59.0
190.5852	0.0002	Stimulus/S128	2	952926	54.0	59.0
196.6484	0.0002	Stimulus/S128	2	983242	54.0	59.0
203.7258	0.0002	Stimulus/S128	2	1018629	54.0	59.0
211.7962	0.0002	Stimulus/S128	2	1058981	54.0	59.0
217.8596	0.0002	Stimulus/S128	2	1089298	54.0	59.0
223.9366	0.0002	Stimulus/S128	2	1119683	54.0	59.0
230.007	0.0002	Stimulus/S128	2	1150035	54.0	59.0
237.0772	0.0002	Stimulus/S128	2	1185386	54.0	59.0
244.1406	0.0002	Stimulus/S128	2	1220703	54.0	59.0
252.211	0.0002	Stimulus/S128	2	1261055	54.0	59.0
260.3162	0.0002	Stimulus/S128	2	1301581	54.0	59.0
267.3936	0.0002	Stimulus/S128	2	1336968	54.0	59.0
274.4778	0.0002	Stimulus/S128	2	1372389	54.0	59.0
281.562	0.0002	Stimulus/S128	2	1407810	54.0	59.0
288.6254	0.0002	Stimulus/S128	2	1443127	54.0	59.0
295.6888	0.0002	Stimulus/S128	2	1478444	54.0	59.0
303.7524	0.0002	Stimulus/S128	2	1518762	54.0	59.0
311.816	0.0002	Stimulus/S128	2	1559080	54.0	59.0
317.8792	0.0002	Stimulus/S128	2	1589396	54.0	59.0
325.9498	0.0002	Stimulus/S128	2	1629749	54.0	59.0
332.0338	0.0002	Stimulus/S128	2	1660169	54.0	59.0
338.125	0.0002	Stimulus/S128	2	1690625	54.0	59.0
344.1882	0.0002	Stimulus/S128	2	1720941	54.0	59.0
350.2586	0.0002	Stimulus/S128	2	1751293	54.0	59.0
358.329	0.0002	Stimulus/S128	2	1791645	54.0	59.0
366.3924	0.0002	Stimulus/S128	2	1831962	54.0	59.0
374.456	0.0002	Stimulus/S128	2	1872280	54.0	59.0
381.5194	0.0002	Stimulus/S128	2	1907597	54.0	59.0
