onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	54.0	59.0
19.4074	0.0002	Stimulus/S128	2	97037	54.0	59.0
26.4776	0.0002	Stimulus/S128	2	132388	54.0	59.0
34.5412	0.0002	Stimulus/S128	2	172706	54.0	59.0
41.6254	0.0002	Stimulus/S128	2	208127	54.0	59.0
49.689	0.0002	Stimulus/S128	2	248445	54.0	59.0
56.7526	0.0002	Stimulus/S128	2	283763	54.0	59.0
64.823	0.0002	Stimulus/S128	2	324115	54.0	59.0
71.9002	0.0002	Stimulus/S128	2	359501	54.0	59.0
79.9636	0.0002	Stimulus/S128	2	399818	54.0	59.0
86.027	0.0002	Stimulus/S128	2	430135	54.0	59.0
94.1114	0.0002	Stimulus/S128	2	470557	54.0	59.0
101.1886	0.0002	Stimulus/S128	2	505943	54.0	59.0
108.273	0.0002	Stimulus/S128	2	541365	54.0	59.0
114.35	0.0002	Stimulus/S128	2	571750	54.0	59.0
120.4204	0.0002	Stimulus/S128	2	602102	54.0	59.0
128.4838	0.0002	Stimulus/S128	2	642419	54.0	59.0
134.5472	0.0002	Stimulus/S128	2	672736	54.0	59.0
142.6246	0.0002	Stimulus/S128	2	713123	54.0	59.0
149.7018	0.0002	Stimulus/S128	2	748509	54.0	59.0
155.8138	0.0002	Stimulus/S128	2	779069	54.0	59.0
161.877	0.0002	Stimulus/S128	2	809385	54.0	59.0
167.9404	0.0002	Stimulus/S128	2	839702	54.0	59.0
175.0038	0.0002	Stimulus/S128	2	875019	54.0	59.0
182.067	0.0002	Stimulus/S128	2	910335	54.0	59.0
189.1306	0.0002	Stimulus/S128	2	945653	54.0	59.0
195.194	0.0002	Stimulus/S128	2	975970	54.0	59.0
202.2642	0.0002	Stimulus/S128	2	1011321	54.0	59.0
210.3346	0.0002	Stimulus/S128	2	1051673	54.0	59.0
217.398	0.0002	Stimulus/S128	2	1086990	54.0	59.0
225.4616	0.0002	Stimulus/S128	2	1127308	54.0	59.0
232.5388	0.0002	Stimulus/S128	2	1162694	54.0	59.0
238.623	0.0002	Stimulus/S128	2	1193115	54.0	59.0
244.6932	0.0002	Stimulus/S128	2	1223466	54.0	59.0
251.7636	0.0002	Stimulus/S128	2	1258818	54.0	59.0
259.827	0.0002	Stimulus/S128	2	1299135	54.0	59.0
267.8906	0.0002	Stimulus/S128	2	1339453	54.0	59.0
274.954	0.0002	Stimulus/S128	2	1374770	54.0	59.0
283.0246	0.0002	Stimulus/S128	2	1415123	54.0	59.0
291.088	0.0002	Stimulus/S128	2	1455440	54.0	59.0
297.1514	0.0002	Stimulus/S128	2	1485757	54.0	59.0
305.2218	0.0002	Stimulus/S128	2	1526109	54.0	59.0
311.299	0.0002	Stimulus/S128	2	1556495	54.0	59.0
319.3626	0.0002	Stimulus/S128	2	1596813	54.0	59.0
325.5022	0.0002	Stimulus/S128	2	1627511	54.0	59.0
333.5658	0.0002	Stimulus/S128	2	1667829	54.0	59.0
341.6292	0.0002	Stimulus/S128	2	1708146	54.0	59.0
348.6926	0.0002	Stimulus/S128	2	1743463	54.0	59.0
354.7838	0.0002	Stimulus/S128	2	1773919	54.0	59.0
361.854	0.0002	Stimulus/S128	2	1809270	54.0	59.0
368.9384	0.0002	Stimulus/S128	2	1844692	54.0	59.0
375.0016	0.0002	Stimulus/S128	2	1875008	54.0	59.0
381.072	0.0002	Stimulus/S128	2	1905360	54.0	59.0
387.1422	0.0002	Stimulus/S128	2	1935711	54.0	59.0
395.2058	0.0002	Stimulus/S128	2	1976029	54.0	59.0
