onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	54.0	59.0
6.1194	0.0002	Stimulus/S128	2	30597	54.0	59.0
12.959	0.0002	Stimulus/S128	2	64795	54.0	59.0
18.7944	0.0002	Stimulus/S128	2	93972	54.0	59.0
24.6286	0.0002	Stimulus/S128	2	123143	54.0	59.0
30.4626	0.0002	Stimulus/S128	2	152313	54.0	59.0
38.297	0.0002	Stimulus/S128	2	191485	54.0	59.0
44.131	0.0002	Stimulus/S128	2	220655	54.0	59.0
51.9654	0.0002	Stimulus/S128	2	259827	54.0	59.0
59.7998	0.0002	Stimulus/S128	2	298999	54.0	59.0
65.634	0.0002	Stimulus/S128	2	328170	54.0	59.0
72.468	0.0002	Stimulus/S128	2	362340	54.0	59.0
78.3022	0.0002	Stimulus/S128	2	391511	54.0	59.0
84.1364	0.0002	Stimulus/S128	2	420682	54.0	59.0
90.9706	0.0002	Stimulus/S128	2	454853	54.0	59.0
96.8046	0.0002	Stimulus/S128	2	484023	54.0	59.0
104.6388	0.0002	Stimulus/S128	2	523194	54.0	59.0
111.473	0.0002	Stimulus/S128	2	557365	54.0	59.0
118.3074	0.0002	Stimulus/S128	2	591537	54.0	59.0
125.1414	0.0002	Stimulus/S128	2	625707	54.0	59.0
131.9758	0.0002	Stimulus/S128	2	659879	54.0	59.0
139.8102	0.0002	Stimulus/S128	2	699051	54.0	59.0
146.6444	0.0002	Stimulus/S128	2	733222	54.0	59.0
153.4788	0.0002	Stimulus/S128	2	767394	54.0	59.0
159.3126	0.0002	Stimulus/S128	2	796563	54.0	59.0
167.147	0.0002	Stimulus/S128	2	835735	54.0	59.0
174.9812	0.0002	Stimulus/S128	2	874906	54.0	59.0
181.8154	0.0002	Stimulus/S128	2	909077	54.0	59.0
188.6498	0.0002	Stimulus/S128	2	943249	54.0	59.0
196.484	0.0002	Stimulus/S128	2	982420	54.0	59.0
203.3182	0.0002	Stimulus/S128	2	1016591	54.0	59.0
211.1526	0.0002	Stimulus/S128	2	1055763	54.0	59.0
217.987	0.0002	Stimulus/S128	2	1089935	54.0	59.0
225.8212	0.0002	Stimulus/S128	2	1129106	54.0	59.0
231.6552	0.0002	Stimulus/S128	2	1158276	54.0	59.0
238.4894	0.0002	Stimulus/S128	2	1192447	54.0	59.0
246.3238	0.0002	Stimulus/S128	2	1231619	54.0	59.0
252.1578	0.0002	Stimulus/S128	2	1260789	54.0	59.0
258.9922	0.0002	Stimulus/S128	2	1294961	54.0	59.0
266.8264	0.0002	Stimulus/S128	2	1334132	54.0	59.0
274.661	0.0002	Stimulus/S128	2	1373305	54.0	59.0
280.4948	0.0002	Stimulus/S128	2	1402474	54.0	59.0
288.3292	0.0002	Stimulus/S128	2	1441646	54.0	59.0
296.1636	0.0002	Stimulus/S128	2	1480818	54.0	59.0
302.9978	0.0002	Stimulus/S128	2	1514989	54.0	59.0
308.8318	0.0002	Stimulus/S128	2	1544159	54.0	59.0
314.666	0.0002	Stimulus/S128	2	1573330	54.0	59.0
321.5	0.0002	Stimulus/S128	2	1607500	54.0	59.0
327.3342	0.0002	Stimulus/S128	2	1636671	54.0	59.0
333.1682	0.0002	Stimulus/S128	2	1665841	54.0	59.0
339.0024	0.0002	Stimulus/S128	2	1695012	54.0	59.0
346.8366	0.0002	Stimulus/S128	2	1734183	54.0	59.0
353.671	0.0002	Stimulus/S128	2	1768355	54.0	59.0
361.5054	0.0002	Stimulus/S128	2	1807527	54.0	59.0
