onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
5.6234	0.0002	Stimulus/S128	2	28117		
12.7006	0.0002	Stimulus/S128	2	63503		
20.7642	0.0002	Stimulus/S128	2	103821		
28.8276	0.0002	Stimulus/S128	2	144138		
36.8912	0.0002	Stimulus/S128	2	184456		
43.9546	0.0002	Stimulus/S128	2	219773		
52.0458	0.0002	Stimulus/S128	2	260229		
59.1232	0.0002	Stimulus/S128	2	295616		
65.228	0.0002	Stimulus/S128	2	326140		
72.2984	0.0002	Stimulus/S128	2	361492		
79.3688	0.0002	Stimulus/S128	2	396844		
85.4444	0.0002	Stimulus/S128	2	427222		
91.5092	0.0002	Stimulus/S128	2	457546		
99.5798	0.0002	Stimulus/S128	2	497899		
107.6458	0.0002	Stimulus/S128	2	538229		
113.7204	0.0002	Stimulus/S128	2	568602		
121.784	0.0002	Stimulus/S128	2	608920		
127.8472	0.0002	Stimulus/S128	2	639236		
134.9246	0.0002	Stimulus/S128	2	674623		
143.002	0.0002	Stimulus/S128	2	715010		
149.0722	0.0002	Stimulus/S128	2	745361		
157.1426	0.0002	Stimulus/S128	2	785713		
163.2198	0.0002	Stimulus/S128	2	816099		
171.2904	0.0002	Stimulus/S128	2	856452		
178.3538	0.0002	Stimulus/S128	2	891769		
185.4242	0.0002	Stimulus/S128	2	927121		
192.4876	0.0002	Stimulus/S128	2	962438		
200.5512	0.0002	Stimulus/S128	2	1002756		
207.6284	0.0002	Stimulus/S128	2	1038142		
213.7124	0.0002	Stimulus/S128	2	1068562		
221.79	0.0002	Stimulus/S128	2	1108950		
228.8742	0.0002	Stimulus/S128	2	1144371		
235.9446	0.0002	Stimulus/S128	2	1179723		
243.0078	0.0002	Stimulus/S128	2	1215039		
249.078	0.0002	Stimulus/S128	2	1245390		
255.1482	0.0002	Stimulus/S128	2	1275741		
261.2118	0.0002	Stimulus/S128	2	1306059		
269.289	0.0002	Stimulus/S128	2	1346445		
275.3592	0.0002	Stimulus/S128	2	1376796		
283.4296	0.0002	Stimulus/S128	2	1417148		
289.493	0.0002	Stimulus/S128	2	1447465		
295.5562	0.0002	Stimulus/S128	2	1477781		
302.6196	0.0002	Stimulus/S128	2	1513098		
308.6968	0.0002	Stimulus/S128	2	1543484		
316.7674	0.0002	Stimulus/S128	2	1583837		
323.8376	0.0002	Stimulus/S128	2	1619188		
331.9116	0.0002	Stimulus/S128	2	1659558		
337.9784	0.0002	Stimulus/S128	2	1689892		
344.0554	0.0002	Stimulus/S128	2	1720277		
352.126	0.0002	Stimulus/S128	2	1760630		
359.2032	0.0002	Stimulus/S128	2	1796016		
366.2666	0.0002	Stimulus/S128	2	1831333		
373.33	0.0002	Stimulus/S128	2	1866650		
381.3936	0.0002	Stimulus/S128	2	1906968		
