onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
6.561	0.0002	Stimulus/S128	2	32805		
12.4016	0.0002	Stimulus/S128	2	62008		
20.2428	0.0002	Stimulus/S128	2	101214		
26.0838	0.0002	Stimulus/S128	2	130419		
31.9304	0.0002	Stimulus/S128	2	159652		
37.773	0.0002	Stimulus/S128	2	188865		
45.6142	0.0002	Stimulus/S128	2	228071		
52.4554	0.0002	Stimulus/S128	2	262277		
58.2964	0.0002	Stimulus/S128	2	291482		
66.1376	0.0002	Stimulus/S128	2	330688		
71.9786	0.0002	Stimulus/S128	2	359893		
79.82	0.0002	Stimulus/S128	2	399100		
87.6612	0.0002	Stimulus/S128	2	438306		
94.5024	0.0002	Stimulus/S128	2	472512		
102.3438	0.0002	Stimulus/S128	2	511719		
109.185	0.0002	Stimulus/S128	2	545925		
116.026	0.0002	Stimulus/S128	2	580130		
122.8688	0.0002	Stimulus/S128	2	614344		
129.7084	0.0002	Stimulus/S128	2	648542		
137.5498	0.0002	Stimulus/S128	2	687749		
143.3906	0.0002	Stimulus/S128	2	716953		
149.2318	0.0002	Stimulus/S128	2	746159		
156.0728	0.0002	Stimulus/S128	2	780364		
162.914	0.0002	Stimulus/S128	2	814570		
168.755	0.0002	Stimulus/S128	2	843775		
176.5964	0.0002	Stimulus/S128	2	882982		
184.4376	0.0002	Stimulus/S128	2	922188		
191.2788	0.0002	Stimulus/S128	2	956394		
198.1198	0.0002	Stimulus/S128	2	990599		
205.9612	0.0002	Stimulus/S128	2	1029806		
213.8024	0.0002	Stimulus/S128	2	1069012		
221.6438	0.0002	Stimulus/S128	2	1108219		
228.485	0.0002	Stimulus/S128	2	1142425		
235.3314	0.0002	Stimulus/S128	2	1176657		
242.1744	0.0002	Stimulus/S128	2	1210872		
249.0154	0.0002	Stimulus/S128	2	1245077		
256.8566	0.0002	Stimulus/S128	2	1284283		
264.698	0.0002	Stimulus/S128	2	1323490		
270.539	0.0002	Stimulus/S128	2	1352695		
277.3802	0.0002	Stimulus/S128	2	1386901		
283.2212	0.0002	Stimulus/S128	2	1416106		
289.0622	0.0002	Stimulus/S128	2	1445311		
296.9034	0.0002	Stimulus/S128	2	1484517		
304.7448	0.0002	Stimulus/S128	2	1523724		
311.5858	0.0002	Stimulus/S128	2	1557929		
319.4272	0.0002	Stimulus/S128	2	1597136		
325.2684	0.0002	Stimulus/S128	2	1626342		
332.1094	0.0002	Stimulus/S128	2	1660547		
337.9504	0.0002	Stimulus/S128	2	1689752		
343.7914	0.0002	Stimulus/S128	2	1718957		
349.6324	0.0002	Stimulus/S128	2	1748162		
355.4736	0.0002	Stimulus/S128	2	1777368		
361.3146	0.0002	Stimulus/S128	2	1806573		
369.1558	0.0002	Stimulus/S128	2	1845779		
