onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
6.9258	0.0002	Stimulus/S128	2	34629		
15.0124	0.0002	Stimulus/S128	2	75062		
23.083	0.0002	Stimulus/S128	2	115415		
29.1532	0.0002	Stimulus/S128	2	145766		
35.2234	0.0002	Stimulus/S128	2	176117		
42.3008	0.0002	Stimulus/S128	2	211504		
48.3848	0.0002	Stimulus/S128	2	241924		
55.4552	0.0002	Stimulus/S128	2	277276		
63.5188	0.0002	Stimulus/S128	2	317594		
71.6104	0.0002	Stimulus/S128	2	358052		
78.6804	0.0002	Stimulus/S128	2	393402		
84.7436	0.0002	Stimulus/S128	2	423718		
92.8126	0.0002	Stimulus/S128	2	464063		
98.8774	0.0002	Stimulus/S128	2	494387		
104.9478	0.0002	Stimulus/S128	2	524739		
111.0178	0.0002	Stimulus/S128	2	555089		
117.0814	0.0002	Stimulus/S128	2	585407		
124.1446	0.0002	Stimulus/S128	2	620723		
131.208	0.0002	Stimulus/S128	2	656040		
137.2712	0.0002	Stimulus/S128	2	686356		
145.3348	0.0002	Stimulus/S128	2	726674		
151.398	0.0002	Stimulus/S128	2	756990		
159.4616	0.0002	Stimulus/S128	2	797308		
166.532	0.0002	Stimulus/S128	2	832660		
174.5954	0.0002	Stimulus/S128	2	872977		
181.6728	0.0002	Stimulus/S128	2	908364		
188.7502	0.0002	Stimulus/S128	2	943751		
196.8486	0.0002	Stimulus/S128	2	984243		
203.9256	0.0002	Stimulus/S128	2	1019628		
212.01	0.0002	Stimulus/S128	2	1060050		
220.0806	0.0002	Stimulus/S128	2	1100403		
226.1718	0.0002	Stimulus/S128	2	1130859		
233.2488	0.0002	Stimulus/S128	2	1166244		
241.3124	0.0002	Stimulus/S128	2	1206562		
248.3758	0.0002	Stimulus/S128	2	1241879		
255.4394	0.0002	Stimulus/S128	2	1277197		
263.5446	0.0002	Stimulus/S128	2	1317723		
270.6218	0.0002	Stimulus/S128	2	1353109		
278.706	0.0002	Stimulus/S128	2	1393530		
284.7762	0.0002	Stimulus/S128	2	1423881		
290.8466	0.0002	Stimulus/S128	2	1454233		
298.91	0.0002	Stimulus/S128	2	1494550		
305.9734	0.0002	Stimulus/S128	2	1529867		
312.0576	0.0002	Stimulus/S128	2	1560288		
319.1348	0.0002	Stimulus/S128	2	1595674		
325.2258	0.0002	Stimulus/S128	2	1626129		
332.2962	0.0002	Stimulus/S128	2	1661481		
340.3668	0.0002	Stimulus/S128	2	1701834		
346.43	0.0002	Stimulus/S128	2	1732150		
354.4936	0.0002	Stimulus/S128	2	1772468		
360.6402	0.0002	Stimulus/S128	2	1803201		
366.7036	0.0002	Stimulus/S128	2	1833518		
374.774	0.0002	Stimulus/S128	2	1873870		
381.8442	0.0002	Stimulus/S128	2	1909221		
