onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	51.0	61.0
14.978	0.0002	Stimulus/S128	2	74890	51.0	61.0
21.8112	0.0002	Stimulus/S128	2	109056	51.0	61.0
28.6454	0.0002	Stimulus/S128	2	143227	51.0	61.0
34.4796	0.0002	Stimulus/S128	2	172398	51.0	61.0
41.3138	0.0002	Stimulus/S128	2	206569	51.0	61.0
49.1552	0.0002	Stimulus/S128	2	245776	51.0	61.0
55.9898	0.0002	Stimulus/S128	2	279949	51.0	61.0
62.8234	0.0002	Stimulus/S128	2	314117	51.0	61.0
68.6646	0.0002	Stimulus/S128	2	343323	51.0	61.0
76.5064	0.0002	Stimulus/S128	2	382532	51.0	61.0
83.34	0.0002	Stimulus/S128	2	416700	51.0	61.0
89.181	0.0002	Stimulus/S128	2	445905	51.0	61.0
97.0224	0.0002	Stimulus/S128	2	485112	51.0	61.0
104.8636	0.0002	Stimulus/S128	2	524318	51.0	61.0
110.7046	0.0002	Stimulus/S128	2	553523	51.0	61.0
117.5458	0.0002	Stimulus/S128	2	587729	51.0	61.0
124.38	0.0002	Stimulus/S128	2	621900	51.0	61.0
130.2142	0.0002	Stimulus/S128	2	651071	51.0	61.0
136.0552	0.0002	Stimulus/S128	2	680276	51.0	61.0
142.8894	0.0002	Stimulus/S128	2	714447	51.0	61.0
148.7236	0.0002	Stimulus/S128	2	743618	51.0	61.0
155.5596	0.0002	Stimulus/S128	2	777798	51.0	61.0
161.404	0.0002	Stimulus/S128	2	807020	51.0	61.0
169.247	0.0002	Stimulus/S128	2	846235	51.0	61.0
176.0812	0.0002	Stimulus/S128	2	880406	51.0	61.0
181.9152	0.0002	Stimulus/S128	2	909576	51.0	61.0
189.7566	0.0002	Stimulus/S128	2	948783	51.0	61.0
197.5978	0.0002	Stimulus/S128	2	987989	51.0	61.0
203.4318	0.0002	Stimulus/S128	2	1017159	51.0	61.0
209.273	0.0002	Stimulus/S128	2	1046365	51.0	61.0
215.1142	0.0002	Stimulus/S128	2	1075571	51.0	61.0
222.9558	0.0002	Stimulus/S128	2	1114779	51.0	61.0
228.7894	0.0002	Stimulus/S128	2	1143947	51.0	61.0
236.6306	0.0002	Stimulus/S128	2	1183153	51.0	61.0
242.4716	0.0002	Stimulus/S128	2	1212358	51.0	61.0
249.306	0.0002	Stimulus/S128	2	1246530	51.0	61.0
256.1472	0.0002	Stimulus/S128	2	1280736	51.0	61.0
263.9888	0.0002	Stimulus/S128	2	1319944	51.0	61.0
271.8298	0.0002	Stimulus/S128	2	1359149	51.0	61.0
277.664	0.0002	Stimulus/S128	2	1388320	51.0	61.0
284.498	0.0002	Stimulus/S128	2	1422490	51.0	61.0
292.3392	0.0002	Stimulus/S128	2	1461696	51.0	61.0
299.1736	0.0002	Stimulus/S128	2	1495868	51.0	61.0
307.015	0.0002	Stimulus/S128	2	1535075	51.0	61.0
313.849	0.0002	Stimulus/S128	2	1569245	51.0	61.0
319.6832	0.0002	Stimulus/S128	2	1598416	51.0	61.0
326.5226	0.0002	Stimulus/S128	2	1632613	51.0	61.0
334.3656	0.0002	Stimulus/S128	2	1671828	51.0	61.0
342.1998	0.0002	Stimulus/S128	2	1710999	51.0	61.0
350.0412	0.0002	Stimulus/S128	2	1750206	51.0	61.0
357.8826	0.0002	Stimulus/S128	2	1789413	51.0	61.0
364.7166	0.0002	Stimulus/S128	2	1823583	51.0	61.0
370.5576	0.0002	Stimulus/S128	2	1852788	51.0	61.0
376.3988	0.0002	Stimulus/S128	2	1881994	51.0	61.0
