onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0		
5.5408	0.0002	Stimulus/S128	2	27704		
13.6112	0.0002	Stimulus/S128	2	68056		
21.6816	0.0002	Stimulus/S128	2	108408		
27.745	0.0002	Stimulus/S128	2	138725		
34.8222	0.0002	Stimulus/S128	2	174111		
42.8998	0.0002	Stimulus/S128	2	214499		
49.991	0.0002	Stimulus/S128	2	249955		
56.061	0.0002	Stimulus/S128	2	280305		
62.1312	0.0002	Stimulus/S128	2	310656		
70.2052	0.0002	Stimulus/S128	2	351026		
76.272	0.0002	Stimulus/S128	2	381360		
82.3424	0.0002	Stimulus/S128	2	411712		
89.4126	0.0002	Stimulus/S128	2	447063		
96.476	0.0002	Stimulus/S128	2	482380		
102.5532	0.0002	Stimulus/S128	2	512766		
108.6304	0.0002	Stimulus/S128	2	543152		
114.7146	0.0002	Stimulus/S128	2	573573		
120.7918	0.0002	Stimulus/S128	2	603959		
126.8688	0.0002	Stimulus/S128	2	634344		
133.9324	0.0002	Stimulus/S128	2	669662		
142.0028	0.0002	Stimulus/S128	2	710014		
149.0732	0.0002	Stimulus/S128	2	745366		
155.1364	0.0002	Stimulus/S128	2	775682		
162.2068	0.0002	Stimulus/S128	2	811034		
170.2704	0.0002	Stimulus/S128	2	851352		
177.3408	0.0002	Stimulus/S128	2	886704		
184.411	0.0002	Stimulus/S128	2	922055		
192.4746	0.0002	Stimulus/S128	2	962373		
198.5448	0.0002	Stimulus/S128	2	992724		
204.622	0.0002	Stimulus/S128	2	1023110		
211.7132	0.0002	Stimulus/S128	2	1058566		
219.7838	0.0002	Stimulus/S128	2	1098919		
226.868	0.0002	Stimulus/S128	2	1134340		
232.9382	0.0002	Stimulus/S128	2	1164691		
239.0014	0.0002	Stimulus/S128	2	1195007		
246.0788	0.0002	Stimulus/S128	2	1230394		
254.1492	0.0002	Stimulus/S128	2	1270746		
262.2544	0.0002	Stimulus/S128	2	1311272		
270.332	0.0002	Stimulus/S128	2	1351660		
277.4162	0.0002	Stimulus/S128	2	1387081		
285.4866	0.0002	Stimulus/S128	2	1427433		
293.571	0.0002	Stimulus/S128	2	1467855		
300.6484	0.0002	Stimulus/S128	2	1503242		
308.7884	0.0002	Stimulus/S128	2	1543942		
315.8586	0.0002	Stimulus/S128	2	1579293		
323.9346	0.0002	Stimulus/S128	2	1619673		
330.9996	0.0002	Stimulus/S128	2	1654998		
338.063	0.0002	Stimulus/S128	2	1690315		
344.1262	0.0002	Stimulus/S128	2	1720631		
350.1964	0.0002	Stimulus/S128	2	1750982		
358.2738	0.0002	Stimulus/S128	2	1791369		
364.3372	0.0002	Stimulus/S128	2	1821686		
372.4008	0.0002	Stimulus/S128	2	1862004		
380.4642	0.0002	Stimulus/S128	2	1902321		
